customer_id,product_id,product_category,rating,purchase_amount,date
429,44,Clothing,2,42.65,2023-11-08
792,50,Electronics,1,114.81,2023-09-19
483,26,Sports,5,274.52,2023-06-29
766,81,Electronics,5,257.48,2023-09-03
966,28,Beauty,1,345.48,2024-01-04
783,59,Beauty,2,12.12,2024-04-09
741,8,Home,1,155.12,2023-12-09
494,67,Electronics,3,430.76,2023-09-15
519,86,Clothing,3,281.45,2023-09-18
519,27,Sports,4,35.91,2024-04-22
415,81,Beauty,3,22.53,2024-02-18
75,21,Sports,2,244.04,2023-07-16
683,37,Electronics,5,38.86,2023-08-22
970,21,Clothing,3,111.4,2023-12-07
13,21,Electronics,2,268.42,2023-08-23
462,51,Beauty,1,163.82,2023-07-19
271,35,Sports,4,190.0,2023-12-29
643,57,Sports,2,155.61,2023-10-20
328,5,Sports,1,252.72,2023-09-24
830,93,Home,4,400.85,2023-10-06
714,69,Clothing,3,459.58,2024-02-14
753,87,Sports,4,451.85,2023-07-07
520,92,Clothing,4,460.6,2023-11-29
980,98,Clothing,3,286.63,2023-12-23
578,17,Electronics,3,133.62,2024-05-18
691,57,Beauty,2,446.68,2024-05-28
848,35,Electronics,5,64.75,2024-04-25
288,86,Electronics,3,315.21,2023-08-22
900,9,Clothing,4,389.03,2024-01-16
706,64,Home,2,242.85,2024-05-09
347,88,Sports,3,164.61,2023-10-23
605,60,Clothing,1,108.9,2024-02-06
27,10,Beauty,3,449.62,2023-11-07
41,97,Home,1,308.92,2023-07-21
607,8,Beauty,1,495.63,2023-09-02
702,13,Electronics,4,257.71,2023-06-30
768,57,Beauty,5,373.73,2023-11-07
692,84,Clothing,1,465.44,2023-07-31
433,75,Beauty,4,455.46,2024-03-15
760,14,Sports,5,364.75,2024-01-24
469,82,Beauty,2,316.7,2024-04-01
599,65,Clothing,5,459.3,2023-11-01
233,95,Sports,4,104.56,2024-04-30
261,6,Beauty,3,339.79,2023-08-16
807,45,Electronics,2,81.62,2024-01-26
404,48,Home,4,267.48,2023-10-05
124,8,Beauty,2,322.02,2023-10-17
3,41,Electronics,4,264.09,2024-03-03
66,73,Beauty,2,187.16,2024-03-10
955,59,Electronics,4,412.34,2024-05-09
338,3,Clothing,3,28.77,2023-06-24
780,63,Sports,2,232.34,2024-03-30
560,84,Sports,1,107.33,2023-11-08
727,17,Home,3,444.43,2023-12-16
808,31,Sports,1,279.51,2024-04-25
985,9,Beauty,3,188.61,2023-07-14
989,85,Sports,2,334.65,2023-09-27
79,49,Clothing,3,349.49,2023-12-25
15,24,Electronics,3,264.34,2023-07-04
821,100,Sports,1,380.05,2024-05-20
450,72,Electronics,1,285.34,2024-01-18
